,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,walkover,w_sets_won,l_sets_won,total_sets,w_games_won,l_games_won,total_games,total_tiebreaks
0,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,126207,,Direct,Frances Tiafoe,R,188.0,USA,23.4,126952,,Direct,Soon Woo Kwon,R,180.0,KOR,23.6,6-3 6-2,3,R64,69.0,12.0,0.0,50.0,42.0,29.0,8.0,9.0,2.0,2.0,11.0,4.0,63.0,54.0,24.0,9.0,8.0,5.0,8.0,53.0,1228.0,71.0,996.0,False,2.0,0.0,2.0,12.0,5.0,17.0,0.0
1,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,105526,,Direct,Jan Lennard Struff,R,193.0,GER,31.2,106329,,Direct,Thiago Monteiro,L,183.0,BRA,27.1,6-3 6-4,3,R64,75.0,4.0,4.0,61.0,56.0,44.0,0.0,10.0,3.0,3.0,2.0,0.0,48.0,48.0,33.0,0.0,9.0,2.0,4.0,48.0,1410.0,95.0,829.0,False,2.0,0.0,2.0,12.0,7.0,19.0,0.0
2,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,111576,,Direct,Sumit Nagal,R,178.0,IND,23.9,104797,,Direct,Denis Istomin,R,185.0,UZB,34.8,6-4 6-7(6) 6-4,3,R64,164.0,8.0,6.0,125.0,111.0,75.0,3.0,16.0,12.0,14.0,17.0,2.0,92.0,82.0,54.0,5.0,16.0,1.0,5.0,160.0,471.0,197.0,354.0,False,2.0,1.0,3.0,18.0,15.0,33.0,1.0
3,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,105357,,Direct,John Millman,R,183.0,AUS,32.0,207518,,Direct,Lorenzo Musetti,R,185.0,ITA,19.3,6-3 6-4,3,R64,95.0,1.0,1.0,62.0,52.0,31.0,7.0,10.0,4.0,6.0,1.0,2.0,65.0,49.0,27.0,7.0,9.0,6.0,10.0,44.0,1476.0,61.0,1106.0,False,2.0,0.0,2.0,12.0,7.0,19.0,0.0
4,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,207830,,Direct,Tomas Machac,R,183.0,CZE,20.7,105311,,Direct,Joao Sousa,R,185.0,POR,32.3,6-7(5) 6-4 6-4,3,R64,150.0,12.0,2.0,98.0,81.0,59.0,22.0,16.0,2.0,4.0,7.0,2.0,109.0,98.0,63.0,20.0,16.0,4.0,8.0,145.0,525.0,137.0,570.0,False,2.0,1.0,3.0,18.0,15.0,33.0,1.0
5,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,105062,,Direct,Mikhail Kukushkin,R,183.0,KAZ,33.5,105948,,Direct,Federico Coria,R,180.0,ARG,29.3,7-6(4) 7-5,3,R64,130.0,7.0,0.0,89.0,86.0,52.0,16.0,12.0,7.0,10.0,0.0,0.0,75.0,73.0,44.0,10.0,12.0,1.0,5.0,123.0,652.0,62.0,1063.0,False,2.0,0.0,2.0,14.0,11.0,25.0,1.0
6,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,136440,,Direct,Dominik Koepfer,L,180.0,GER,27.2,105487,,Direct,Facundo Bagnis,L,183.0,ARG,31.3,3-6 6-3 7-5,3,R64,126.0,8.0,1.0,102.0,100.0,51.0,12.0,15.0,6.0,9.0,5.0,8.0,85.0,76.0,41.0,10.0,15.0,0.0,4.0,57.0,1153.0,80.0,916.0,False,2.0,1.0,3.0,16.0,14.0,30.0,0.0
7,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,200175,,Direct,Miomir Kecmanovic,R,183.0,SRB,21.8,111794,,Direct,Kamil Majchrzak,R,180.0,POL,25.5,6-4 6-2,3,R64,77.0,4.0,3.0,56.0,53.0,37.0,0.0,9.0,4.0,5.0,3.0,2.0,60.0,58.0,32.0,0.0,9.0,2.0,6.0,50.0,1309.0,115.0,722.0,False,2.0,0.0,2.0,12.0,6.0,18.0,0.0
8,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,106218,,Direct,Marcos Giron,R,180.0,USA,27.9,105613,,Direct,Norbert Gombos,R,193.0,SVK,30.9,7-6(4) 3-6 6-2,3,R64,137.0,8.0,0.0,88.0,72.0,36.0,23.0,15.0,1.0,4.0,8.0,6.0,87.0,69.0,37.0,15.0,14.0,9.0,12.0,64.0,1047.0,98.0,812.0,False,2.0,1.0,3.0,16.0,14.0,30.0,1.0
9,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,106078,,Direct,Egor Gerasimov,R,196.0,BLR,28.6,104468,,Direct,Gilles Simon,R,183.0,FRA,36.5,4-6 6-3 6-4,3,R64,152.0,11.0,6.0,102.0,96.0,59.0,0.0,15.0,7.0,12.0,3.0,8.0,105.0,97.0,55.0,0.0,14.0,13.0,19.0,79.0,926.0,102.0,779.0,False,2.0,1.0,3.0,16.0,13.0,29.0,0.0
10,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,123755,,Direct,Daniel Elahi Galan,R,191.0,COL,25.0,105633,,Direct,Mohamed Safwat,R,180.0,EGY,30.8,7-5 6-1,3,R64,87.0,6.0,1.0,68.0,63.0,45.0,3.0,10.0,1.0,1.0,5.0,7.0,62.0,52.0,35.0,6.0,9.0,3.0,6.0,113.0,727.0,171.0,424.0,False,2.0,0.0,2.0,13.0,6.0,19.0,0.0
11,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,105902,,Direct,James Duckworth,R,183.0,AUS,29.4,127760,,Direct,Lukas Klein,R,193.0,SVK,23.3,5-7 6-3 7-6(4),3,R64,140.0,6.0,0.0,101.0,101.0,74.0,0.0,17.0,5.0,7.0,10.0,2.0,100.0,97.0,66.0,0.0,16.0,2.0,4.0,77.0,933.0,246.0,268.0,False,2.0,1.0,3.0,18.0,16.0,34.0,1.0
12,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,105227,,Direct,Marin Cilic,R,198.0,CRO,32.8,110778,,Direct,Joao Menezes,R,185.0,BRA,24.5,6-7(5) 7-5 7-6(7),3,R64,203.0,11.0,13.0,123.0,96.0,67.0,27.0,18.0,3.0,9.0,4.0,5.0,142.0,120.0,74.0,23.0,18.0,12.0,18.0,36.0,1705.0,217.0,319.0,False,2.0,1.0,3.0,20.0,18.0,38.0,2.0
13,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,104871,,Direct,Jeremy Chardy,R,188.0,FRA,34.4,144642,,Direct,Tomas Barrios Vera,R,191.0,CHI,23.6,6-1 7-6(4),3,R64,90.0,15.0,6.0,70.0,64.0,51.0,0.0,10.0,2.0,2.0,3.0,3.0,59.0,56.0,37.0,0.0,9.0,2.0,4.0,68.0,1019.0,195.0,362.0,False,2.0,0.0,2.0,13.0,7.0,20.0,1.0
14,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,106281,,Direct,Liam Broady,L,183.0,GBR,27.5,202103,,Direct,Francisco Cerundolo,R,185.0,ARG,22.9,7-5 6-7(4) 6-2,3,R64,188.0,3.0,2.0,103.0,78.0,59.0,16.0,16.0,3.0,3.0,6.0,5.0,111.0,83.0,56.0,14.0,16.0,8.0,11.0,142.0,538.0,116.0,698.0,False,2.0,1.0,3.0,19.0,14.0,33.0,1.0
15,2021-0096,Tokyo Olympics,Hard,64,A,2021-07-24,105932,,Direct,Nikoloz Basilashvili,R,185.0,GEO,29.4,106148,,Direct,Roberto Carballes Baena,R,183.0,ESP,28.3,6-3 6-2,3,R64,72.0,4.0,1.0,43.0,24.0,21.0,11.0,9.0,0.0,1.0,2.0,4.0,60.0,42.0,24.0,6.0,8.0,10.0,14.0,42.0,1565.0,90.0,841.0,False,2.0,0.0,2.0,12.0,5.0,17.0,0.0
