,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,walkover,w_sets_won,l_sets_won,total_sets,w_games_won,l_games_won,total_games,total_tiebreaks
0,2016-M020,Brisbane,Hard,32,A,2016-01-04,105062,,Direct,Mikhail Kukushkin,R,183.0,KAZ,28.0,104797,,Direct,Denis Istomin,R,185.0,UZB,29.3,6-2 7-5,3,R32,84.0,1.0,3.0,67.0,36.0,27.0,20.0,10.0,3.0,3.0,6.0,0.0,53.0,32.0,22.0,12.0,10.0,4.0,7.0,65.0,762.0,61.0,781.0,False,2.0,0.0,2.0,13.0,7.0,20.0,0.0
1,2016-M020,Brisbane,Hard,32,A,2016-01-04,103285,,PR,Radek Stepanek,R,185.0,CZE,37.1,105583,,Direct,Dusan Lajovic,R,183.0,SRB,25.5,6-0 6-3,3,R32,67.0,3.0,2.0,48.0,25.0,18.0,16.0,8.0,2.0,2.0,0.0,2.0,46.0,25.0,15.0,8.0,7.0,4.0,8.0,197.0,252.0,76.0,678.0,False,2.0,0.0,2.0,12.0,3.0,15.0,0.0
2,2016-M020,Brisbane,Hard,32,A,2016-01-04,106071,7.0,Direct,Bernard Tomic,R,196.0,AUS,23.2,103917,,Direct,Nicolas Mahut,R,191.0,FRA,33.9,6-4 6-3,3,R32,69.0,8.0,0.0,59.0,34.0,28.0,14.0,10.0,4.0,5.0,4.0,1.0,50.0,29.0,21.0,10.0,9.0,3.0,6.0,18.0,1675.0,71.0,710.0,False,2.0,0.0,2.0,12.0,7.0,19.0,0.0
3,2016-M020,Brisbane,Hard,32,A,2016-01-04,104471,,Q,Ivan Dodig,R,183.0,CRO,31.0,117352,,Q,Oliver Anderson,R,175.0,AUS,17.6,6-3 6-2,3,R32,67.0,11.0,2.0,49.0,30.0,24.0,13.0,9.0,0.0,0.0,3.0,1.0,52.0,30.0,22.0,9.0,8.0,3.0,6.0,87.0,636.0,813.0,25.0,False,2.0,0.0,2.0,12.0,5.0,17.0,0.0
4,2016-M020,Brisbane,Hard,32,A,2016-01-04,106298,,Direct,Lucas Pouille,R,185.0,FRA,21.8,106415,,Q,Yoshihito Nishioka,L,170.0,JPN,20.2,4-6 6-3 7-5,3,R32,143.0,17.0,2.0,95.0,64.0,53.0,15.0,16.0,2.0,4.0,4.0,3.0,120.0,64.0,42.0,30.0,15.0,12.0,15.0,78.0,672.0,117.0,495.0,False,2.0,1.0,3.0,17.0,14.0,31.0,0.0
5,2016-M020,Brisbane,Hard,32,A,2016-01-04,105676,6.0,Direct,David Goffin,R,180.0,BEL,25.0,105064,,Direct,Thomaz Bellucci,L,188.0,BRA,28.0,6-4 6-4,3,R32,82.0,3.0,4.0,57.0,30.0,23.0,16.0,10.0,1.0,2.0,7.0,2.0,66.0,40.0,25.0,15.0,10.0,7.0,10.0,16.0,1880.0,37.0,1105.0,False,2.0,0.0,2.0,12.0,8.0,20.0,0.0
6,2016-M020,Brisbane,Hard,32,A,2016-01-04,106233,8.0,Direct,Dominic Thiem,R,185.0,AUT,22.3,105902,,WC,James Duckworth,R,183.0,AUS,23.9,3-6 6-4 6-3,3,R32,113.0,4.0,2.0,80.0,48.0,35.0,21.0,14.0,2.0,4.0,14.0,1.0,93.0,42.0,32.0,26.0,14.0,6.0,9.0,20.0,1600.0,120.0,485.0,False,2.0,1.0,3.0,15.0,13.0,28.0,0.0
7,2016-M020,Brisbane,Hard,32,A,2016-01-04,106045,,Direct,Denis Kudla,R,180.0,USA,23.3,105441,,WC,John Patrick Smith,L,188.0,AUS,26.9,4-6 6-3 6-2,3,R32,103.0,2.0,3.0,73.0,44.0,36.0,19.0,14.0,4.0,5.0,8.0,3.0,85.0,40.0,25.0,25.0,13.0,5.0,8.0,69.0,719.0,129.0,459.0,False,2.0,1.0,3.0,16.0,11.0,27.0,0.0
8,2016-M020,Brisbane,Hard,32,A,2016-01-04,111202,,Direct,Hyeon Chung,R,188.0,KOR,19.6,105032,,Direct,Sam Groth,R,193.0,AUS,28.2,7-6(8) 6-4,3,R32,102.0,2.0,3.0,73.0,48.0,35.0,14.0,11.0,2.0,4.0,11.0,3.0,84.0,52.0,39.0,10.0,11.0,8.0,11.0,51.0,817.0,60.0,782.0,False,2.0,0.0,2.0,13.0,10.0,23.0,1.0
9,2016-M020,Brisbane,Hard,32,A,2016-01-04,105777,,Direct,Grigor Dimitrov,R,191.0,BUL,24.6,104468,5.0,Direct,Gilles Simon,R,183.0,FRA,31.0,6-3 7-6(10),3,R32,125.0,8.0,6.0,81.0,46.0,36.0,18.0,11.0,6.0,7.0,2.0,3.0,91.0,55.0,36.0,16.0,10.0,3.0,5.0,28.0,1360.0,15.0,2145.0,False,2.0,0.0,2.0,13.0,9.0,22.0,1.0
10,2016-M020,Brisbane,Hard,32,A,2016-01-04,104678,,Direct,Viktor Troicki,R,193.0,SRB,29.8,105449,,Direct,Steve Johnson,R,188.0,USA,26.0,7-6(3) 6-1,3,R32,70.0,3.0,2.0,56.0,34.0,28.0,13.0,10.0,1.0,3.0,3.0,0.0,62.0,33.0,20.0,14.0,9.0,4.0,8.0,22.0,1487.0,32.0,1240.0,False,2.0,0.0,2.0,13.0,7.0,20.0,1.0
11,2016-M020,Brisbane,Hard,32,A,2016-01-04,104735,,Q,Tobias Kamke,R,180.0,GER,29.6,106093,,WC,Benjamin Mitchell,R,183.0,AUS,23.0,6-2 6-4,3,R32,79.0,1.0,0.0,59.0,36.0,29.0,13.0,9.0,0.0,0.0,4.0,3.0,59.0,37.0,24.0,10.0,9.0,5.0,8.0,277.0,185.0,231.0,225.0,False,2.0,0.0,2.0,12.0,6.0,18.0,0.0
12,2016-M020,Brisbane,Hard,32,A,2016-01-04,105453,2.0,Direct,Kei Nishikori,R,178.0,JPN,26.0,105062,,Direct,Mikhail Kukushkin,R,183.0,KAZ,28.0,6-3 6-4,3,R16,89.0,5.0,2.0,61.0,40.0,29.0,13.0,10.0,5.0,6.0,3.0,0.0,58.0,36.0,23.0,10.0,9.0,4.0,7.0,8.0,4235.0,65.0,762.0,False,2.0,0.0,2.0,12.0,7.0,19.0,0.0
13,2016-M020,Brisbane,Hard,32,A,2016-01-04,106071,7.0,Direct,Bernard Tomic,R,196.0,AUS,23.2,103285,,PR,Radek Stepanek,R,185.0,CZE,37.1,7-6(6) 4-6 7-6(4),3,R16,157.0,19.0,1.0,114.0,78.0,56.0,17.0,17.0,3.0,6.0,14.0,5.0,107.0,66.0,54.0,18.0,17.0,4.0,6.0,18.0,1675.0,197.0,252.0,False,2.0,1.0,3.0,18.0,18.0,36.0,2.0
14,2016-M020,Brisbane,Hard,32,A,2016-01-04,105683,4.0,Direct,Milos Raonic,R,196.0,CAN,25.0,104471,,Q,Ivan Dodig,R,183.0,CRO,31.0,6-7(2) 6-1 6-4,3,R16,145.0,17.0,5.0,106.0,62.0,51.0,23.0,15.0,3.0,3.0,11.0,2.0,100.0,66.0,47.0,17.0,14.0,7.0,10.0,14.0,2170.0,87.0,636.0,False,2.0,1.0,3.0,18.0,12.0,30.0,1.0
