,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,walkover,w_sets_won,l_sets_won,total_sets,w_games_won,l_games_won,total_games,total_tiebreaks
0,2017-M020,Brisbane,Hard,32,A,2017-01-02,104678,,Direct,Viktor Troicki,R,193.0,SRB,30.8,106415,,Q,Yoshihito Nishioka,L,170.0,JPN,21.2,6-4 7-5,3,R32,91.0,11.0,5.0,64.0,45.0,35.0,6.0,11.0,1.0,3.0,0.0,1.0,82.0,53.0,33.0,13.0,11.0,6.0,10.0,29.0,1385.0,100.0,604.0,False,2.0,0.0,2.0,13.0,9.0,22.0,0.0
1,2017-M020,Brisbane,Hard,32,A,2017-01-02,106378,,Direct,Kyle Edmund,R,188.0,GBR,21.9,124014,,Q,Ernesto Escobedo,R,185.0,MEX,20.4,7-6(4) 7-6(6),3,R32,130.0,11.0,2.0,83.0,48.0,37.0,19.0,12.0,2.0,3.0,11.0,3.0,113.0,67.0,39.0,27.0,12.0,9.0,10.0,45.0,1001.0,141.0,443.0,False,2.0,0.0,2.0,14.0,12.0,26.0,2.0
2,2017-M020,Brisbane,Hard,32,A,2017-01-02,106298,6.0,Direct,Lucas Pouille,R,185.0,FRA,22.8,104468,,Direct,Gilles Simon,R,183.0,FRA,32.0,7-6(6) 7-6(4),3,R32,125.0,7.0,2.0,102.0,52.0,37.0,24.0,12.0,8.0,12.0,1.0,4.0,76.0,42.0,29.0,16.0,12.0,0.0,4.0,15.0,2156.0,25.0,1585.0,False,2.0,0.0,2.0,14.0,12.0,26.0,2.0
3,2017-M020,Brisbane,Hard,32,A,2017-01-02,111577,,Q,Jared Donaldson,R,188.0,USA,20.2,104180,,Direct,Gilles Muller,L,193.0,LUX,33.6,6-4 6-4,3,R32,75.0,12.0,2.0,55.0,33.0,27.0,13.0,10.0,0.0,1.0,10.0,2.0,58.0,37.0,27.0,7.0,10.0,2.0,5.0,105.0,570.0,34.0,1255.0,False,2.0,0.0,2.0,12.0,8.0,20.0,0.0
4,2017-M020,Brisbane,Hard,32,A,2017-01-02,111442,,WC,Jordan Thompson,R,183.0,AUS,22.7,111200,,WC,Elias Ymer,R,185.0,SWE,20.7,6-3 6-2,3,R32,90.0,1.0,0.0,46.0,28.0,26.0,6.0,8.0,1.0,2.0,1.0,6.0,74.0,43.0,23.0,13.0,9.0,10.0,15.0,79.0,689.0,160.0,372.0,False,2.0,0.0,2.0,12.0,5.0,17.0,0.0
5,2017-M020,Brisbane,Hard,32,A,2017-01-02,103970,8.0,Direct,David Ferrer,R,175.0,ESP,34.7,106071,,Direct,Bernard Tomic,R,196.0,AUS,24.1,6-3 7-5,3,R32,83.0,3.0,5.0,52.0,30.0,25.0,12.0,10.0,2.0,3.0,5.0,8.0,74.0,44.0,29.0,12.0,11.0,5.0,9.0,21.0,1785.0,26.0,1465.0,False,2.0,0.0,2.0,13.0,8.0,21.0,0.0
6,2017-M020,Brisbane,Hard,32,A,2017-01-02,105777,7.0,Direct,Grigor Dimitrov,R,191.0,BUL,25.6,105449,,Direct,Steve Johnson,R,188.0,USA,27.0,6-2 6-3,3,R32,75.0,3.0,0.0,48.0,25.0,23.0,12.0,9.0,0.0,1.0,2.0,3.0,57.0,36.0,21.0,7.0,8.0,4.0,8.0,17.0,2035.0,33.0,1320.0,False,2.0,0.0,2.0,12.0,5.0,17.0,0.0
7,2017-M020,Brisbane,Hard,32,A,2017-01-02,103917,,Direct,Nicolas Mahut,R,191.0,FRA,34.9,103565,,Direct,Stephane Robert,R,185.0,FRA,36.6,4-6 6-3 6-4,3,R32,120.0,13.0,3.0,86.0,55.0,42.0,17.0,15.0,2.0,4.0,9.0,8.0,94.0,46.0,29.0,30.0,14.0,9.0,12.0,39.0,1102.0,54.0,854.0,False,2.0,1.0,3.0,16.0,13.0,29.0,0.0
8,2017-M020,Brisbane,Hard,32,A,2017-01-02,105032,,WC,Sam Groth,R,193.0,AUS,29.2,105732,,Direct,Pierre Hugues Herbert,R,188.0,FRA,25.7,6-3 5-7 7-5,3,R32,130.0,20.0,5.0,106.0,59.0,45.0,28.0,17.0,8.0,10.0,9.0,5.0,87.0,48.0,33.0,24.0,16.0,4.0,7.0,180.0,320.0,78.0,698.0,False,2.0,1.0,3.0,18.0,15.0,33.0,0.0
9,2017-M020,Brisbane,Hard,32,A,2017-01-02,104745,5.0,Direct,Rafael Nadal,L,185.0,ESP,30.5,105238,,Direct,Alexandr Dolgopolov,R,180.0,UKR,28.1,6-3 6-3,3,R32,74.0,2.0,1.0,52.0,36.0,26.0,10.0,9.0,2.0,3.0,2.0,2.0,53.0,28.0,20.0,7.0,9.0,0.0,4.0,9.0,3300.0,62.0,760.0,False,2.0,0.0,2.0,12.0,6.0,18.0,0.0
10,2017-M020,Brisbane,Hard,32,A,2017-01-02,104999,,Direct,Mischa Zverev,L,190.0,GER,29.3,200282,,Q,Alex De Minaur,R,183.0,AUS,17.8,6-3 6-3,3,R32,67.0,3.0,3.0,57.0,42.0,30.0,9.0,9.0,2.0,2.0,2.0,4.0,46.0,26.0,14.0,12.0,9.0,0.0,3.0,51.0,874.0,351.0,132.0,False,2.0,0.0,2.0,12.0,6.0,18.0,0.0
11,2017-M020,Brisbane,Hard,32,A,2017-01-02,106043,,Direct,Diego Schwartzman,R,170.0,ARG,24.3,105023,,Direct,Sam Querrey,R,198.0,USA,29.2,6-2 6-4,3,R32,58.0,2.0,0.0,47.0,29.0,21.0,11.0,9.0,0.0,2.0,3.0,7.0,50.0,25.0,15.0,9.0,9.0,4.0,9.0,52.0,864.0,31.0,1355.0,False,2.0,0.0,2.0,12.0,6.0,18.0,0.0
12,2017-M020,Brisbane,Hard,32,A,2017-01-02,104527,2.0,Direct,Stan Wawrinka,R,183.0,SUI,31.7,104678,,Direct,Viktor Troicki,R,193.0,SRB,30.8,7-6(5) 6-4,3,R16,89.0,7.0,2.0,64.0,41.0,33.0,15.0,11.0,0.0,1.0,5.0,7.0,71.0,46.0,39.0,8.0,11.0,3.0,5.0,4.0,5315.0,29.0,1385.0,False,2.0,0.0,2.0,13.0,10.0,23.0,1.0
13,2017-M020,Brisbane,Hard,32,A,2017-01-02,106378,,Direct,Kyle Edmund,R,188.0,GBR,21.9,106298,6.0,Direct,Lucas Pouille,R,185.0,FRA,22.8,6-3 3-1 RET,3,R16,59.0,6.0,1.0,44.0,27.0,22.0,11.0,7.0,4.0,4.0,3.0,2.0,34.0,18.0,15.0,6.0,6.0,3.0,5.0,45.0,1001.0,15.0,2156.0,False,2.0,0.0,2.0,9.0,4.0,13.0,0.0
14,2017-M020,Brisbane,Hard,32,A,2017-01-02,105453,3.0,Direct,Kei Nishikori,R,178.0,JPN,27.0,111577,,Q,Jared Donaldson,R,188.0,USA,20.2,4-6 6-4 6-3,3,R16,143.0,3.0,3.0,107.0,66.0,47.0,18.0,15.0,4.0,8.0,6.0,4.0,95.0,54.0,32.0,20.0,14.0,8.0,13.0,5.0,4905.0,105.0,570.0,False,2.0,1.0,3.0,16.0,13.0,29.0,0.0
