,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,walkover,w_sets_won,l_sets_won,total_sets,w_games_won,l_games_won,total_games,total_tiebreaks
0,2019-M020,Brisbane,Hard,32,A,2018-12-31,105453,2.0,Direct,Kei Nishikori,R,178.0,JPN,29.0,106421,4.0,Direct,Daniil Medvedev,R,198.0,RUS,22.8,6-4 3-6 6-2,3,F,124.0,3.0,3.0,77.0,44.0,31.0,17.0,13.0,3.0,6.0,8.0,6.0,100.0,54.0,34.0,20.0,14.0,10.0,15.0,9.0,3590.0,16.0,1977.0,False,2.0,1.0,3.0,15.0,12.0,27.0,0.0
1,2019-M020,Brisbane,Hard,32,A,2018-12-31,106421,4.0,Direct,Daniil Medvedev,R,198.0,RUS,22.8,104542,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.7,7-6(6) 6-2,3,SF,82.0,10.0,1.0,52.0,33.0,28.0,14.0,10.0,0.0,1.0,17.0,2.0,77.0,52.0,36.0,7.0,10.0,10.0,13.0,16.0,1977.0,239.0,200.0,False,2.0,0.0,2.0,13.0,8.0,21.0,1.0
2,2019-M020,Brisbane,Hard,32,A,2018-12-31,105453,2.0,Direct,Kei Nishikori,R,178.0,JPN,29.0,104871,,Direct,Jeremy Chardy,R,188.0,FRA,31.8,6-2 6-2,3,SF,66.0,2.0,2.0,47.0,33.0,26.0,9.0,8.0,2.0,2.0,10.0,3.0,46.0,27.0,15.0,6.0,8.0,1.0,5.0,9.0,3590.0,40.0,1050.0,False,2.0,0.0,2.0,12.0,4.0,16.0,0.0
3,2019-M020,Brisbane,Hard,32,A,2018-12-31,104542,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.7,200282,7.0,Direct,Alex De Minaur,R,183.0,AUS,19.8,6-4 7-6(2),3,QF,106.0,12.0,2.0,68.0,43.0,34.0,15.0,11.0,4.0,5.0,1.0,2.0,81.0,60.0,38.0,9.0,11.0,4.0,6.0,239.0,200.0,31.0,1298.0,False,2.0,0.0,2.0,13.0,10.0,23.0,1.0
4,2019-M020,Brisbane,Hard,32,A,2018-12-31,106421,4.0,Direct,Daniil Medvedev,R,198.0,RUS,22.8,105683,5.0,Direct,Milos Raonic,R,196.0,CAN,28.0,6-7(2) 6-3 6-4,3,QF,129.0,12.0,3.0,105.0,68.0,48.0,25.0,16.0,8.0,8.0,29.0,5.0,94.0,56.0,46.0,19.0,15.0,2.0,4.0,16.0,1977.0,18.0,1855.0,False,2.0,1.0,3.0,18.0,14.0,32.0,1.0
5,2019-M020,Brisbane,Hard,32,A,2018-12-31,104871,,Direct,Jeremy Chardy,R,188.0,FRA,31.8,106034,,Q,Yasutaka Uchiyama,R,183.0,JPN,26.4,6-4 3-6 7-6(4),3,QF,127.0,10.0,8.0,94.0,58.0,44.0,18.0,16.0,4.0,8.0,12.0,6.0,90.0,54.0,40.0,18.0,15.0,6.0,9.0,40.0,1050.0,185.0,275.0,False,2.0,1.0,3.0,16.0,16.0,32.0,1.0
6,2019-M020,Brisbane,Hard,32,A,2018-12-31,105453,2.0,Direct,Kei Nishikori,R,178.0,JPN,29.0,105777,6.0,Direct,Grigor Dimitrov,R,191.0,BUL,27.6,7-5 7-5,3,QF,100.0,5.0,2.0,59.0,47.0,37.0,9.0,12.0,0.0,1.0,8.0,5.0,80.0,53.0,37.0,13.0,12.0,6.0,9.0,9.0,3590.0,19.0,1835.0,False,2.0,0.0,2.0,14.0,10.0,24.0,0.0
7,2019-M020,Brisbane,Hard,32,A,2018-12-31,104542,,PR,Jo-Wilfried Tsonga,R,188.0,FRA,33.7,106121,,LL,Taro Daniel,R,191.0,JPN,25.9,7-6(5) 6-3,3,R16,100.0,11.0,3.0,64.0,37.0,30.0,11.0,10.0,4.0,7.0,3.0,7.0,85.0,51.0,34.0,11.0,11.0,6.0,11.0,239.0,200.0,77.0,691.0,False,2.0,0.0,2.0,13.0,9.0,22.0,1.0
8,2019-M020,Brisbane,Hard,32,A,2018-12-31,200282,7.0,Direct,Alex De Minaur,R,183.0,AUS,19.8,111442,,Direct,Jordan Thompson,R,183.0,AUS,24.6,6-4 6-2,3,R16,80.0,1.0,1.0,49.0,38.0,29.0,8.0,9.0,0.0,0.0,5.0,0.0,56.0,39.0,30.0,3.0,9.0,3.0,6.0,31.0,1298.0,72.0,715.0,False,2.0,0.0,2.0,12.0,6.0,18.0,0.0
9,2019-M020,Brisbane,Hard,32,A,2018-12-31,106421,4.0,Direct,Daniil Medvedev,R,198.0,RUS,22.8,104918,,PR,Andy Murray,R,191.0,GBR,31.6,7-5 6-2,3,R16,81.0,16.0,2.0,54.0,34.0,27.0,13.0,10.0,0.0,1.0,6.0,1.0,60.0,39.0,27.0,7.0,10.0,2.0,6.0,16.0,1977.0,240.0,200.0,False,2.0,0.0,2.0,13.0,7.0,20.0,0.0
10,2019-M020,Brisbane,Hard,32,A,2018-12-31,105683,5.0,Direct,Milos Raonic,R,196.0,CAN,28.0,200175,,Q,Miomir Kecmanovic,R,183.0,SRB,19.3,6-3 7-6(2),3,R16,82.0,21.0,3.0,62.0,46.0,40.0,10.0,11.0,0.0,0.0,3.0,0.0,71.0,44.0,28.0,18.0,10.0,2.0,3.0,18.0,1855.0,131.0,433.0,False,2.0,0.0,2.0,13.0,9.0,22.0,1.0
11,2019-M020,Brisbane,Hard,32,A,2018-12-31,104871,,Direct,Jeremy Chardy,R,188.0,FRA,31.8,106401,8.0,Direct,Nick Kyrgios,R,193.0,AUS,23.6,6-7(5) 6-2 6-3,3,R16,99.0,17.0,5.0,84.0,58.0,50.0,17.0,15.0,2.0,2.0,13.0,6.0,80.0,59.0,48.0,10.0,14.0,2.0,5.0,40.0,1050.0,35.0,1125.0,False,2.0,1.0,3.0,18.0,12.0,30.0,1.0
12,2019-M020,Brisbane,Hard,32,A,2018-12-31,106034,,Q,Yasutaka Uchiyama,R,183.0,JPN,26.4,106378,3.0,Direct,Kyle Edmund,R,188.0,GBR,23.9,7-6(6) 6-4,3,R16,93.0,15.0,0.0,75.0,48.0,41.0,14.0,11.0,3.0,3.0,7.0,1.0,75.0,50.0,35.0,14.0,11.0,1.0,2.0,185.0,275.0,14.0,2150.0,False,2.0,0.0,2.0,13.0,10.0,23.0,1.0
13,2019-M020,Brisbane,Hard,32,A,2018-12-31,105777,6.0,Direct,Grigor Dimitrov,R,191.0,BUL,27.6,105357,,Direct,John Millman,R,183.0,AUS,29.5,6-3 6-4,3,R16,88.0,6.0,2.0,63.0,35.0,27.0,13.0,10.0,2.0,4.0,1.0,1.0,55.0,37.0,18.0,10.0,9.0,3.0,7.0,19.0,1835.0,38.0,1083.0,False,2.0,0.0,2.0,12.0,7.0,19.0,0.0
14,2019-M020,Brisbane,Hard,32,A,2018-12-31,105453,2.0,Direct,Kei Nishikori,R,178.0,JPN,29.0,106045,,Direct,Denis Kudla,R,180.0,USA,26.3,7-5 6-2,3,R16,79.0,7.0,2.0,56.0,32.0,27.0,15.0,10.0,0.0,0.0,5.0,3.0,60.0,36.0,26.0,8.0,10.0,4.0,7.0,9.0,3590.0,63.0,810.0,False,2.0,0.0,2.0,13.0,7.0,20.0,0.0
