,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,walkover,w_sets_won,l_sets_won,total_sets,w_games_won,l_games_won,total_games,total_tiebreaks
0,2024-0339,Brisbane,Hard,32,A,2024-01-01,105777,2.0,Direct,Grigor Dimitrov,R,191.0,BUL,32.6,208029,1.0,Direct,Holger Rune,R,188.0,DEN,20.6,7-6(5) 6-4,3,F,136.0,8.0,2.0,74.0,52.0,40.0,13.0,11.0,3.0,3.0,9.0,3.0,95.0,58.0,44.0,16.0,11.0,8.0,9.0,14.0,2570.0,8.0,3660.0,False,2.0,0.0,2.0,13.0,10.0,23.0,1.0
1,2024-0339,Brisbane,Hard,32,A,2024-01-01,208029,1.0,Direct,Holger Rune,R,188.0,DEN,20.6,126128,,Direct,Roman Safiullin,R,185.0,RUS,26.4,6-4 7-6(0),3,SF,97.0,7.0,4.0,72.0,48.0,39.0,11.0,11.0,1.0,2.0,5.0,5.0,66.0,35.0,31.0,10.0,11.0,5.0,7.0,8.0,3660.0,39.0,1122.0,False,2.0,0.0,2.0,13.0,10.0,23.0,1.0
2,2024-0339,Brisbane,Hard,32,A,2024-01-01,105777,2.0,Direct,Grigor Dimitrov,R,191.0,BUL,32.6,111442,,Direct,Jordan Thompson,R,183.0,AUS,29.7,6-3 7-5,3,SF,109.0,10.0,3.0,67.0,45.0,39.0,10.0,11.0,6.0,6.0,5.0,1.0,62.0,39.0,24.0,14.0,10.0,5.0,7.0,14.0,2570.0,55.0,902.0,False,2.0,0.0,2.0,13.0,8.0,21.0,0.0
3,2024-0339,Brisbane,Hard,32,A,2024-01-01,208029,1.0,Direct,Holger Rune,R,188.0,DEN,20.6,105902,,Q,James Duckworth,R,183.0,AUS,31.9,6-2 7-6(6),3,QF,105.0,13.0,0.0,65.0,36.0,31.0,17.0,10.0,1.0,1.0,5.0,2.0,77.0,51.0,31.0,16.0,10.0,3.0,5.0,8.0,3660.0,116.0,573.0,False,2.0,0.0,2.0,13.0,8.0,21.0,1.0
4,2024-0339,Brisbane,Hard,32,A,2024-01-01,126128,,Direct,Roman Safiullin,R,185.0,RUS,26.4,208286,,Direct,Matteo Arnaldi,R,185.0,ITA,22.8,7-6(4) 6-2,3,QF,120.0,9.0,3.0,73.0,43.0,36.0,14.0,10.0,2.0,3.0,3.0,2.0,69.0,37.0,27.0,16.0,10.0,5.0,8.0,39.0,1122.0,44.0,1021.0,False,2.0,0.0,2.0,13.0,8.0,21.0,1.0
5,2024-0339,Brisbane,Hard,32,A,2024-01-01,111442,,Direct,Jordan Thompson,R,183.0,AUS,29.7,104745,,WC,Rafael Nadal,L,185.0,ESP,37.5,5-7 7-6(6) 6-3,3,QF,206.0,8.0,3.0,109.0,67.0,51.0,20.0,17.0,6.0,8.0,7.0,2.0,108.0,79.0,58.0,13.0,16.0,1.0,3.0,55.0,902.0,672.0,45.0,False,2.0,1.0,3.0,18.0,16.0,34.0,1.0
6,2024-0339,Brisbane,Hard,32,A,2024-01-01,105777,2.0,Direct,Grigor Dimitrov,R,191.0,BUL,32.6,208014,,WC,Rinky Hijikata,R,178.0,AUS,22.8,6-1 6-4,3,QF,78.0,12.0,2.0,50.0,33.0,26.0,12.0,9.0,2.0,2.0,4.0,4.0,57.0,34.0,23.0,8.0,8.0,4.0,7.0,14.0,2570.0,71.0,744.0,False,2.0,0.0,2.0,12.0,5.0,17.0,0.0
7,2024-0339,Brisbane,Hard,32,A,2024-01-01,208029,1.0,Direct,Holger Rune,R,188.0,DEN,20.6,207686,,Direct,Alexander Shevchenko,R,185.0,KAZ,23.0,6-4 5-7 6-2,3,R16,147.0,12.0,2.0,91.0,57.0,43.0,22.0,15.0,5.0,6.0,5.0,2.0,108.0,62.0,45.0,23.0,15.0,7.0,10.0,8.0,3660.0,48.0,947.0,False,2.0,1.0,3.0,17.0,13.0,30.0,0.0
8,2024-0339,Brisbane,Hard,32,A,2024-01-01,105902,,Q,James Duckworth,R,183.0,AUS,31.9,105870,,Direct,Yannick Hanfmann,R,193.0,GER,32.1,4-6 6-1 7-6(2),3,R16,145.0,22.0,4.0,91.0,66.0,52.0,13.0,15.0,2.0,3.0,15.0,4.0,97.0,56.0,43.0,20.0,14.0,10.0,12.0,116.0,573.0,51.0,914.0,False,2.0,1.0,3.0,17.0,13.0,30.0,1.0
9,2024-0339,Brisbane,Hard,32,A,2024-01-01,126128,,Direct,Roman Safiullin,R,185.0,RUS,26.4,200615,,Direct,Alexei Popyrin,R,196.0,AUS,24.4,6-7(9) 6-4 7-6(3),3,R16,174.0,23.0,4.0,121.0,77.0,62.0,26.0,17.0,13.0,14.0,13.0,6.0,113.0,79.0,64.0,15.0,17.0,7.0,9.0,39.0,1122.0,40.0,1084.0,False,2.0,1.0,3.0,19.0,17.0,36.0,2.0
