,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,walkover,w_sets_won,l_sets_won,total_sets,w_games_won,l_games_won,total_games,total_tiebreaks
0,2020-8888,Atp Cup,Hard,24,A,2020-01-06,104925,,Direct,Novak Djokovic,R,188.0,SRB,32.6,104745,,Direct,Rafael Nadal,L,185.0,ESP,33.5,6-2 7-6(4),3,F,115.0,12.0,2.0,64.0,49.0,41.0,9.0,10.0,5.0,5.0,5.0,3.0,70.0,51.0,39.0,6.0,10.0,6.0,8.0,2.0,9055.0,1.0,9985.0,False,2.0,0.0,2.0,13.0,8.0,21.0,1.0
1,2020-8888,Atp Cup,Hard,24,A,2020-01-06,105138,,Direct,Roberto Bautista Agut,R,183.0,ESP,31.7,105583,,Direct,Dusan Lajovic,R,183.0,SRB,29.5,7-5 6-1,3,F,97.0,2.0,1.0,59.0,44.0,29.0,10.0,10.0,3.0,5.0,2.0,1.0,57.0,35.0,21.0,6.0,9.0,5.0,10.0,10.0,2335.0,34.0,1251.0,False,2.0,0.0,2.0,13.0,6.0,19.0,0.0
2,2020-8888,Atp Cup,Hard,24,A,2020-01-06,104925,,Direct,Novak Djokovic,R,188.0,SRB,32.6,106421,,Direct,Daniil Medvedev,R,198.0,RUS,23.9,6-1 5-7 6-4,3,SF,167.0,4.0,5.0,111.0,75.0,53.0,16.0,15.0,8.0,11.0,6.0,5.0,108.0,57.0,35.0,25.0,14.0,6.0,11.0,2.0,9055.0,5.0,5705.0,False,2.0,1.0,3.0,17.0,12.0,29.0,0.0
3,2020-8888,Atp Cup,Hard,24,A,2020-01-06,105583,,Direct,Dusan Lajovic,R,183.0,SRB,29.5,111575,,Direct,Karen Khachanov,R,198.0,RUS,23.6,7-5 7-6(1),3,SF,108.0,1.0,1.0,67.0,48.0,38.0,14.0,12.0,0.0,0.0,9.0,3.0,79.0,54.0,39.0,14.0,12.0,0.0,1.0,34.0,1251.0,17.0,1840.0,False,2.0,0.0,2.0,14.0,11.0,25.0,1.0
4,2020-8888,Atp Cup,Hard,24,A,2020-01-06,104745,,Direct,Rafael Nadal,L,185.0,ESP,33.5,200282,,Direct,Alex De Minaur,R,183.0,AUS,20.8,4-6 7-5 6-1,3,SF,133.0,5.0,3.0,84.0,61.0,48.0,10.0,15.0,1.0,3.0,6.0,1.0,75.0,55.0,37.0,10.0,14.0,1.0,5.0,1.0,9985.0,18.0,1775.0,False,2.0,1.0,3.0,17.0,12.0,29.0,0.0
5,2020-8888,Atp Cup,Hard,24,A,2020-01-06,105138,,Direct,Roberto Bautista Agut,R,183.0,ESP,31.7,106401,,Direct,Nick Kyrgios,R,193.0,AUS,24.6,6-1 6-4,3,SF,81.0,4.0,0.0,57.0,44.0,35.0,7.0,9.0,1.0,1.0,13.0,1.0,55.0,38.0,22.0,8.0,8.0,4.0,7.0,10.0,2335.0,29.0,1375.0,False,2.0,0.0,2.0,12.0,5.0,17.0,0.0
6,2020-8888,Atp Cup,Hard,24,A,2020-01-06,104925,,Direct,Novak Djokovic,R,188.0,SRB,32.6,133430,,Direct,Denis Shapovalov,L,185.0,CAN,20.7,4-6 6-1 7-6(4),3,QF,160.0,4.0,8.0,106.0,64.0,46.0,24.0,15.0,5.0,7.0,15.0,7.0,85.0,44.0,36.0,19.0,14.0,2.0,5.0,2.0,9055.0,14.0,2050.0,False,2.0,1.0,3.0,17.0,13.0,30.0,1.0
7,2020-8888,Atp Cup,Hard,24,A,2020-01-06,105583,,Direct,Dusan Lajovic,R,183.0,SRB,29.5,200000,,Direct,Felix Auger Aliassime,R,193.0,CAN,19.4,6-4 6-2,3,QF,99.0,3.0,0.0,62.0,47.0,35.0,8.0,9.0,2.0,2.0,10.0,5.0,68.0,45.0,31.0,7.0,9.0,8.0,11.0,34.0,1251.0,21.0,1636.0,False,2.0,0.0,2.0,12.0,6.0,18.0,0.0
8,2020-8888,Atp Cup,Hard,24,A,2020-01-06,106421,,Direct,Daniil Medvedev,R,198.0,RUS,23.9,106043,,Direct,Diego Schwartzman,R,170.0,ARG,27.3,6-4 4-6 6-3,3,QF,142.0,14.0,0.0,103.0,68.0,53.0,13.0,15.0,8.0,10.0,1.0,3.0,82.0,56.0,36.0,16.0,14.0,2.0,5.0,5.0,5705.0,13.0,2125.0,False,2.0,1.0,3.0,16.0,13.0,29.0,0.0
9,2020-8888,Atp Cup,Hard,24,A,2020-01-06,111575,,Direct,Karen Khachanov,R,198.0,RUS,23.6,105550,,Direct,Guido Pella,L,183.0,ARG,29.6,6-2 7-6(4),3,QF,98.0,7.0,1.0,63.0,46.0,39.0,7.0,10.0,5.0,6.0,3.0,4.0,65.0,36.0,24.0,14.0,10.0,2.0,5.0,17.0,1840.0,25.0,1530.0,False,2.0,0.0,2.0,13.0,8.0,21.0,1.0
